1482577673.64,u,0,0
1482577674.13,u,3,3
1482577674.18,u,6,6
1482577674.20,u,9,9
1482577674.25,u,12,12
1482577674.28,u,15,15
1482577674.35,u,18,18
1482577674.40,u,21,21
1482577674.44,u,24,24
1482577674.49,u,27,27
1482577674.56,u,30,30
1482577674.61,u,33,33
1482577674.73,u,36,36
1482577674.75,u,39,39
1482577674.78,u,42,42
1482577674.83,u,45,45
1482577674.87,u,48,48
1482577674.89,u,51,51
1482577674.93,u,54,54
1482577675.01,u,57,57
1482577675.04,u,60,60
1482577675.10,u,63,63
1482577675.14,u,66,66
1482577675.19,u,69,69
1482577675.24,u,72,72
1482577675.81,l,75,75
1482577676.31,l,72,78
1482577676.36,l,69,81
1482577676.41,l,66,84
1482577676.46,l,63,87
1482577676.51,l,60,90
1482577676.56,l,57,93
1482577676.63,l,54,96
1482577676.66,l,51,99
1482577676.73,l,48,102
1482577676.76,l,45,105
1482577676.94,s,42,108
1482577680.94,l,75,75
1482577681.45,l,72,78
1482577681.50,l,69,81
1482577681.54,l,66,84
1482577681.60,l,63,87
1482577681.65,l,60,90
1482577681.70,l,57,93
1482577681.75,l,54,96
1482577681.80,l,51,99
1482577681.84,l,48,102
1482577681.90,l,45,105
1482577681.95,l,42,108
1482577681.99,l,39,111
1482577682.04,l,36,114
1482577682.09,l,33,117
1482577682.15,l,30,120
1482577682.20,l,27,123
1482577682.25,l,24,126
1482577682.29,l,21,129
1482577682.42,l,18,132
1482577682.45,l,15,135
1482577682.50,l,12,138
1482577682.54,l,9,141
1482577682.67,s,6,144
1482577685.14,l,75,75
1482577685.62,l,72,78
1482577685.66,l,69,81
1482577685.73,l,66,84
1482577685.76,l,63,87
1482577685.82,l,60,90
1482577685.88,l,57,93
1482577685.91,l,54,96
1482577685.97,l,51,99
1482577686.04,l,48,102
1482577686.07,l,45,105
1482577686.14,l,42,108
1482577686.17,l,39,111
1482577686.23,l,36,114
1482577686.30,l,33,117
1482577686.37,l,30,120
1482577686.63,s,27,123
1482577687.86,l,75,75
1482577688.73,l,72,78
1482577689.60,l,69,81
1482577690.10,l,66,84
1482577690.16,l,63,87
1482577690.26,l,60,90
1482577690.27,l,57,93
1482577690.30,l,54,96
1482577690.36,l,51,99
1482577690.69,s,48,102
1482577691.07,r,75,75
1482577691.57,r,78,72
1482577692.04,r,81,69
1482577693.32,s,84,66
1482577693.61,l,75,75
1482577694.13,l,72,78
1482577694.16,l,69,81
1482577694.21,l,66,84
1482577694.26,l,63,87
1482577694.31,l,60,90
1482577696.10,l,57,93
1482577697.66,s,54,96
1482577699.48,l,75,75
1482577701.47,l,72,78
1482577701.97,l,69,81
1482577702.02,l,66,84
1482577702.08,l,63,87
1482577702.13,l,60,90
1482577702.17,l,57,93
1482577702.23,l,54,96
1482577702.28,l,51,99
1482577702.33,l,48,102
1482577702.37,l,45,105
1482577702.43,l,42,108
1482577702.47,l,39,111
1482577702.52,l,36,114
1482577702.57,l,33,117
1482577702.62,l,30,120
1482577702.67,l,27,123
1482577702.72,l,24,126
1482577703.20,s,21,129
1482577705.10,r,75,75
1482577705.59,r,78,72
1482577706.02,r,81,69
1482577707.82,s,84,66
1482577708.30,l,75,75
1482577708.76,l,72,78
1482577708.82,l,69,81
1482577708.90,l,66,84
1482577708.91,l,63,87
1482577708.97,l,60,90
1482577709.02,l,57,93
1482577709.07,l,54,96
1482577709.12,l,51,99
1482577709.47,s,48,102
1482577709.72,r,75,75
1482577710.23,r,78,72
1482577710.30,r,81,69
1482577710.33,r,84,66
1482577710.39,r,87,63
1482577710.43,r,90,60
1482577710.48,r,93,57
1482577710.84,s,96,54
1482577711.21,l,75,75
1482577711.72,l,72,78
1482577711.76,l,69,81
1482577711.83,l,66,84
1482577711.86,l,63,87
1482577711.91,l,60,90
1482577711.96,l,57,93
1482577712.01,l,54,96
1482577712.07,l,51,99
1482577712.12,l,48,102
1482577712.16,l,45,105
1482577712.27,l,42,108
1482577712.33,l,39,111
1482577712.40,l,36,114
1482577712.42,l,33,117
1482577712.47,l,30,120
1482577713.14,s,27,123
1482577713.32,l,75,75
1482577713.99,l,72,78
1482577714.50,l,69,81
1482577716.91,l,66,84
1482577717.41,l,63,87
1482577717.46,l,60,90
1482577717.52,l,57,93
1482577717.56,l,54,96
1482577717.62,l,51,99
1482577717.67,l,48,102
1482577717.72,l,45,105
1482577717.76,l,42,108
1482577718.09,s,39,111
1482577718.90,r,75,75
1482577719.37,r,78,72
1482577719.44,r,81,69
1482577719.47,r,84,66
1482577719.53,r,87,63
1482577719.57,r,90,60
1482577719.63,r,93,57
1482577719.98,s,96,54
1482577720.30,l,75,75
1482577720.81,l,72,78
1482577720.86,l,69,81
1482577720.91,l,66,84
1482577720.96,l,63,87
1482577721.01,l,60,90
1482577721.06,l,57,93
1482577721.13,l,54,96
1482577721.16,l,51,99
1482577721.22,l,48,102
1482577721.26,l,45,105
1482577721.32,l,42,108
1482577721.37,l,39,111
1482577721.41,l,36,114
1482577721.46,l,33,117
1482577721.51,l,30,120
1482577721.56,l,27,123
1482577721.61,l,24,126
1482577721.66,l,21,129
1482577721.77,s,18,132
1482577723.79,u,75,75
1482577724.00,u,78,78
1482577724.51,u,81,81
1482577724.56,u,84,84
1482577726.06,l,87,87
1482577726.51,l,84,90
1482577726.53,l,81,93
1482577726.54,l,78,96
1482577726.56,l,75,99
1482577726.60,l,72,102
1482577726.65,l,69,105
1482577726.72,l,66,108
1482577726.75,l,63,111
1482577726.80,l,60,114
1482577726.87,l,57,117
1482577726.90,l,54,120
1482577727.00,l,51,123
1482577727.53,s,48,126
1482577727.99,l,87,87
1482577728.50,l,84,90
1482577728.58,l,81,93
1482577728.60,l,78,96
1482577728.70,l,75,99
1482577728.77,l,72,102
1482577728.81,l,69,105
1482577728.84,l,66,108
1482577728.89,l,63,111
1482577728.96,l,60,114
1482577729.35,s,57,117
1482577729.73,l,87,87
1482577730.99,l,84,90
1482577732.54,l,81,93
1482577733.04,l,78,96
1482577733.09,l,75,99
1482577733.14,l,72,102
1482577733.19,l,69,105
1482577733.25,l,66,108
1482577733.29,l,63,111
1482577733.35,l,60,114
1482577733.39,l,57,117
1482577733.45,l,54,120
1482577733.49,l,51,123
1482577733.54,l,48,126
1482577733.59,l,45,129
1482577733.65,l,42,132
1482577733.69,l,39,135
1482577734.09,s,36,138
1482577736.07,r,87,87
1482577736.55,r,90,84
1482577736.62,r,93,81
1482577736.66,r,96,78
1482577736.71,r,99,75
1482577736.76,r,102,72
1482577736.82,r,105,69
1482577736.86,r,108,66
1482577736.95,r,111,63
1482577737.26,s,114,60
1482577737.67,l,87,87
1482577738.15,l,84,90
1482577738.18,l,81,93
1482577738.25,l,78,96
1482577738.29,l,75,99
1482577738.33,l,72,102
1482577738.38,l,69,105
1482577738.46,l,66,108
1482577738.48,l,63,111
1482577738.56,l,60,114
1482577738.59,l,57,117
1482577738.65,l,54,120
1482577738.69,l,51,123
1482577739.02,s,48,126
1482577739.12,r,87,87
1482577739.62,r,90,84
1482577739.68,r,93,81
1482577739.73,r,96,78
1482577739.79,r,99,75
1482577739.95,r,102,72
1482577739.97,r,105,69
1482577740.08,r,108,66
1482577740.09,r,111,63
1482577740.56,s,114,60
1482577740.90,l,87,87
1482577741.36,l,84,90
1482577741.56,l,81,93
1482577741.68,l,78,96
1482577741.91,l,75,99
1482577741.92,l,72,102
1482577742.11,l,69,105
1482577743.01,l,66,108
1482577743.86,h,63,111
