1482577250,2
1482577251,3
1482577252,3
1482577253,4
1482577254,7
1482577255,3
1482577256,3
1482577257,4
1482577258,4
1482577259,2
1482577260,2
1482577261,1
1482577263,2
1482577264,3
1482577265,1
1482577266,2
1482577267,2
1482577268,4
1482577269,4
1482577270,7
1482577271,9
1482577272,6
1482577273,3
1482577275,1
1482577276,2
1482577278,5
1482577279,7
1482577280,5
1482577281,1
1482577282,5
1482577283,4
1482577284,9
1482577285,5
1482577286,6
1482577287,7
1482577288,8
1482577289,7
1482577290,8
1482577291,7
1482577292,8
1482577293,3
1482577294,5
1482577295,6
1482577296,4
1482577297,2
1482577298,1
1482577299,2
1482577300,3
1482577301,2
1482577302,2
1482577303,4
1482577304,3
1482577305,3
1482577306,8
1482577307,6
1482577308,4
1482577309,3
1482577310,4
1482577311,6
1482577312,3
1482577313,4
1482577314,4
1482577315,5
1482577316,4
1482577317,4
1482577318,4
1482577319,7
1482577320,4
1482577321,5
1482577322,5
1482577323,4
