1482584443.14,u,0,0,3,3
1482584443.65,u,3,3,6,6
1482584443.69,u,6,6,9,9
1482584443.74,u,9,9,12,12
1482584443.79,u,12,12,15,15
1482584443.85,u,15,15,18,18
1482584443.89,u,18,18,21,21
1482584443.95,u,21,21,24,24
1482584444.00,u,24,24,27,27
1482584444.05,u,27,27,30,30
1482584444.10,u,30,30,33,33
1482584444.15,u,33,33,36,36
1482584444.20,u,36,36,39,39
1482584444.25,u,39,39,42,42
1482584444.32,u,42,42,45,45
1482584444.35,u,45,45,48,48
1482584444.40,u,48,48,51,51
1482584444.45,u,51,51,54,54
1482584444.51,u,54,54,57,57
1482584445.75,l,57,57,54,60
1482584446.25,l,54,60,51,63
1482584446.31,l,51,63,48,66
1482584446.35,l,48,66,45,69
1482584446.40,l,45,69,42,72
1482584446.46,l,42,72,39,75
1482584446.51,l,39,75,36,78
1482584446.56,l,36,78,33,81
1482584446.61,l,33,81,30,84
1482584446.66,l,30,84,27,87
1482584446.72,l,27,87,24,90
1482584446.75,l,24,90,21,93
1482584447.09,s,21,93,57,57
1482584447.54,r,57,57,60,54
1482584448.04,r,60,54,63,51
1482584448.09,r,63,51,66,48
1482584448.14,r,66,48,69,45
1482584448.19,r,69,45,72,42
1482584448.25,r,72,42,75,39
1482584448.29,r,75,39,78,36
1482584448.35,r,78,36,81,33
1482584448.39,r,81,33,84,30
1482584448.45,r,84,30,87,27
1482584448.50,r,87,27,90,24
1482584448.55,r,90,24,93,21
1482584448.60,r,93,21,96,18
1482584448.88,s,96,18,57,57
1482584449.29,r,57,57,60,54
1482584449.80,r,60,54,63,51
1482584449.85,r,63,51,66,48
1482584449.90,r,66,48,69,45
1482584449.95,r,69,45,72,42
1482584450.00,r,72,42,75,39
1482584450.05,r,75,39,78,36
1482584450.11,r,78,36,81,33
1482584450.15,r,81,33,84,30
1482584450.21,r,84,30,87,27
1482584450.25,r,87,27,90,24
1482584450.30,r,90,24,93,21
1482584450.35,r,93,21,96,18
1482584450.41,r,96,18,99,15
1482584450.45,r,99,15,102,12
1482584450.52,r,102,12,105,9
1482584450.55,r,105,9,108,6
1482584450.87,s,108,6,57,57
1482584451.55,u,57,57,60,60
1482584452.04,u,60,60,63,63
1482584452.11,u,63,63,66,66
1482584452.15,u,66,66,69,69
1482584452.20,u,69,69,72,72
1482584453.28,l,72,72,69,75
1482584453.78,l,69,75,66,78
1482584453.84,l,66,78,63,81
1482584453.88,l,63,81,60,84
1482584453.94,l,60,84,57,87
1482584453.99,l,57,87,54,90
1482584454.35,s,54,90,72,72
1482584455.42,r,72,72,75,69
1482584455.92,r,75,69,78,66
1482584455.98,r,78,66,81,63
1482584456.02,r,81,63,84,60
1482584456.07,r,84,60,87,57
1482584456.12,r,87,57,90,54
1482584456.17,r,90,54,93,51
1482584456.21,r,93,51,96,48
1482584456.28,r,96,48,99,45
1482584456.32,r,99,45,102,42
1482584456.37,r,102,42,105,39
1482584456.46,r,105,39,108,36
1482584456.49,r,108,36,111,33
1482584456.52,r,111,33,114,30
1482584456.57,r,114,30,117,27
1482584457.52,s,117,27,72,72
1482584460.16,l,72,72,69,75
1482584460.57,l,69,75,66,78
1482584460.71,l,66,78,63,81
1482584460.72,l,63,81,60,84
1482584460.86,l,60,84,57,87
1482584460.87,l,57,87,54,90
1482584461.02,l,54,90,51,93
1482584461.55,s,51,93,72,72
1482584463.17,r,72,72,75,69
1482584463.61,r,75,69,78,66
1482584463.65,r,78,66,81,63
1482584463.71,r,81,63,84,60
1482584463.76,r,84,60,87,57
1482584463.83,r,87,57,90,54
1482584463.87,r,90,54,93,51
1482584463.92,r,93,51,96,48
1482584463.96,r,96,48,99,45
1482584464.01,r,99,45,102,42
1482584464.06,r,102,42,105,39
1482584464.11,r,105,39,108,36
1482584464.17,r,108,36,111,33
1482584464.21,r,111,33,114,30
1482584464.26,r,114,30,117,27
1482584464.32,r,117,27,120,24
1482584464.88,s,120,24,72,72
1482584466.82,r,72,72,75,69
1482584467.32,r,75,69,78,66
1482584467.38,r,78,66,81,63
1482584467.42,r,81,63,84,60
1482584467.47,r,84,60,87,57
1482584467.51,r,87,57,90,54
1482584467.61,r,90,54,93,51
1482584467.63,r,93,51,96,48
1482584467.67,r,96,48,99,45
1482584467.71,r,99,45,102,42
1482584467.77,r,102,42,105,39
1482584468.24,s,105,39,72,72
1482584469.02,l,72,72,69,75
1482584469.52,l,69,75,66,78
1482584469.57,l,66,78,63,81
1482584469.62,l,63,81,60,84
1482584469.69,l,60,84,57,87
1482584469.73,l,57,87,54,90
1482584469.77,l,54,90,51,93
1482584469.82,l,51,93,48,96
1482584469.88,l,48,96,45,99
1482584469.92,l,45,99,42,102
1482584470.20,s,42,102,72,72
1482584470.66,r,72,72,75,69
1482584471.16,r,75,69,78,66
1482584471.21,r,78,66,81,63
1482584471.28,r,81,63,84,60
1482584471.31,r,84,60,87,57
1482584471.36,r,87,57,90,54
1482584471.41,r,90,54,93,51
1482584471.47,r,93,51,96,48
1482584471.51,r,96,48,99,45
1482584471.58,r,99,45,102,42
1482584471.61,r,102,42,105,39
1482584471.67,r,105,39,108,36
1482584471.71,r,108,36,111,33
1482584471.77,r,111,33,114,30
1482584471.81,r,114,30,117,27
1482584471.87,r,117,27,120,24
1482584471.92,r,120,24,123,21
1482584472.65,s,123,21,72,72
1482584473.23,r,72,72,75,69
1482584473.74,r,75,69,78,66
1482584473.77,r,78,66,81,63
1482584473.84,r,81,63,84,60
1482584473.88,r,84,60,87,57
1482584474.32,r,87,57,90,54
1482584474.83,r,90,54,93,51
1482584475.41,s,93,51,72,72
1482584476.90,l,72,72,69,75
1482584477.41,l,69,75,66,78
1482584477.45,l,66,78,63,81
1482584477.51,l,63,81,60,84
1482584477.56,l,60,84,57,87
1482584477.60,l,57,87,54,90
1482584477.65,l,54,90,51,93
1482584477.71,l,51,93,48,96
1482584477.76,l,48,96,45,99
1482584477.81,l,45,99,42,102
1482584477.85,l,42,102,39,105
1482584477.91,l,39,105,36,108
1482584477.96,l,36,108,33,111
1482584478.51,s,33,111,72,72
1482584480.61,h,72,72,0,0
