1482582120.72,u
1482582121.22,u
1482582121.27,u
1482582121.32,u
1482582121.37,u
1482582121.42,u
1482582121.47,u
1482582121.52,u
1482582121.57,u
1482582121.62,u
1482582121.67,u
1482582121.72,u
1482582122.18,u
1482582122.68,u
1482582122.74,u
1482582122.78,u
1482582122.83,u
1482582122.89,u
1482582122.93,u
1482582122.98,u
1482582123.03,u
1482582123.09,u
1482582123.13,u
1482582123.43,r
1482582123.95,r
1482582123.99,r
1482582124.03,r
1482582124.09,r
1482582124.13,r
1482582124.19,r
1482582124.23,r
1482582124.27,r
1482582124.32,r
1482582124.37,r
1482582124.43,r
1482582124.48,r
1482582124.52,r
1482582124.57,r
1482582124.63,r
1482582124.69,r
1482582124.73,r
1482582124.79,r
1482582124.83,r
1482582124.89,r
1482582124.93,r
1482582124.99,r
1482582125.26,s
1482582126.17,l
1482582126.67,l
1482582126.74,l
1482582126.76,l
1482582126.82,l
1482582126.86,l
1482582126.93,l
1482582126.96,l
1482582127.02,l
1482582127.06,l
1482582127.14,l
1482582127.17,l
1482582127.22,l
1482582127.26,l
1482582127.32,l
1482582127.36,l
1482582127.41,l
1482582127.91,s
1482582128.12,r
1482582128.62,r
1482582128.66,r
1482582128.72,r
1482582128.76,r
1482582128.82,r
1482582128.87,r
1482582128.93,r
1482582128.97,r
1482582129.02,r
1482582129.07,r
1482582129.12,r
1482582129.17,r
1482582129.22,r
1482582129.27,r
1482582129.32,r
1482582129.37,r
1482582129.42,r
1482582129.47,r
1482582129.53,r
1482582130.05,s
1482582130.36,l
1482582131.15,r
1482582131.64,r
1482582131.69,r
1482582131.76,r
1482582131.79,r
1482582131.85,r
1482582131.91,r
1482582131.95,r
1482582132.35,r
1482582132.97,s
1482582134.91,l
1482582135.41,l
1482582135.46,l
1482582135.52,l
1482582135.56,l
1482582135.62,l
1482582135.66,l
1482582135.72,l
1482582135.76,l
1482582135.81,l
1482582135.86,l
1482582136.78,s
1482582137.92,r
1482582138.42,r
1482582138.47,r
1482582138.53,r
1482582138.57,r
1482582138.62,r
1482582138.67,r
1482582138.72,r
1482582139.52,s
1482582140.66,r
1482582141.18,r
1482582141.29,r
1482582141.29,r
1482582141.31,r
1482582141.43,r
1482582141.43,r
1482582141.46,r
1482582141.56,r
1482582141.56,r
1482582141.70,r
1482582142.79,s
1482582144.13,l
1482582144.64,l
1482582146.05,s
1482582147.17,r
1482582147.69,r
1482582147.72,r
1482582147.78,r
1482582147.84,r
1482582147.88,r
1482582147.93,r
1482582147.99,r
1482582148.03,r
1482582148.08,r
1482582148.13,r
1482582148.18,r
1482582148.23,r
1482582148.28,r
1482582149.35,s
1482582151.48,l
1482582151.98,l
1482582152.03,l
1482582152.08,l
1482582152.13,l
1482582152.18,l
1482582152.23,l
1482582152.29,l
1482582152.33,l
1482582152.39,l
1482582152.43,l
1482582152.49,l
1482582153.15,s
1482582154.46,r
1482582154.95,r
1482582155.02,r
1482582155.06,r
1482582155.11,r
1482582155.15,r
1482582155.21,r
1482582155.25,r
1482582155.31,r
1482582155.36,r
1482582155.41,r
1482582155.46,r
1482582155.56,r
1482582156.59,s
1482582159.42,r
1482582159.92,r
1482582159.96,r
1482582160.02,r
1482582160.06,r
1482582160.12,r
1482582160.16,r
1482582160.21,r
1482582160.26,r
1482582160.96,s
1482582161.30,r
1482582161.60,l
1482582162.12,l
1482582162.15,l
1482582162.21,l
1482582162.26,l
1482582162.32,l
1482582162.35,l
1482582162.40,l
1482582162.45,l
1482582162.51,l
1482582162.56,l
1482582163.31,s
1482582163.63,r
1482582164.13,r
1482582164.18,r
1482582164.23,r
1482582164.29,r
1482582164.33,r
1482582164.39,r
1482582164.43,r
1482582164.49,r
1482582164.55,r
1482582164.59,r
1482582164.64,r
1482582164.69,r
1482582164.74,r
1482582164.79,r
1482582164.84,r
1482582164.89,r
1482582164.94,r
1482582164.99,r
1482582165.90,s
1482582166.75,l
1482582167.25,l
1482582167.30,l
1482582167.36,l
1482582167.42,l
1482582167.46,l
1482582167.80,s
1482582168.17,r
1482582168.68,r
1482582168.72,r
1482582168.77,r
1482582168.84,r
1482582168.87,r
1482582168.95,r
1482582168.97,r
1482582169.04,r
1482582169.10,r
1482582169.79,s
1482582170.72,l
1482582171.22,l
1482582171.27,l
1482582171.32,l
1482582171.38,l
1482582171.42,l
1482582171.48,l
1482582171.52,l
1482582171.58,l
1482582171.62,l
1482582171.68,l
1482582171.72,l
1482582171.78,l
1482582171.83,l
1482582171.88,l
1482582171.93,l
1482582171.98,l
1482582172.04,l
1482582172.08,l
1482582172.13,l
1482582172.19,l
1482582172.23,l
1482582174.12,h
