1482587868.11,l,51,75
1482587868.16,l,48,78
1482587868.21,l,45,81
1482587868.26,l,42,84
1482587868.67,s,39,87
1482587868.99,r,63,63
1482587869.48,r,66,60
1482587869.54,r,69,57
1482587869.61,r,72,54
1482587869.63,r,75,51
1482587869.68,r,78,48
1482587869.74,r,81,45
1482587869.78,r,84,42
1482587869.83,r,87,39
1482587869.87,r,90,36
1482587869.93,r,93,33
1482587869.98,r,96,30
1482587870.04,r,99,27
1482587870.43,s,102,24
1482587870.54,l,63,63
1482587871.04,l,60,66
1482587871.08,l,57,69
1482587871.15,l,54,72
1482587871.21,l,51,75
1482587871.24,l,48,78
1482587871.29,l,45,81
1482587871.34,l,42,84
1482587871.40,l,39,87
1482587871.44,l,36,90
1482587871.48,l,33,93
1482587871.77,s,30,96
1482587872.35,r,63,63
1482587872.87,r,66,60
1482587872.90,r,69,57
1482587872.95,r,72,54
1482587873.01,r,75,51
1482587873.07,r,78,48
1482587873.11,r,81,45
1482587873.16,r,84,42
1482587873.21,r,87,39
1482587873.26,r,90,36
1482587873.31,r,93,33
1482587873.37,r,96,30
1482587873.41,r,99,27
1482587873.47,r,102,24
1482587874.37,s,105,21
1482587875.27,l,63,63
1482587875.83,l,60,66
1482587876.22,l,57,69
1482587877.07,h,54,72
