1482582200,2
1482582202,3
1482582203,3
1482582204,3
1482582205,4
1482582206,4
1482582207,5
1482582208,2
1482582209,1
1482582210,2
1482582211,2
1482582212,3
1482582213,4
1482582214,2
1482582215,4
1482582216,6
1482582217,6
1482582218,3
1482582219,3
1482582220,4
1482582221,5
1482582222,3
1482582223,2
1482582224,5
1482582225,3
1482582226,4
1482582227,4
1482582228,4
1482582229,3
1482582230,4
1482582231,4
1482582232,1
1482582233,2
1482582234,4
1482582235,4
1482582236,3
1482582237,2
1482582238,4
1482582239,3
1482582240,5
1482582241,5
1482582242,6
1482582243,4
