1482588000.17,s,24,126,75,75
1482588000.47,l,75,75,72,78
1482588000.88,l,72,78,69,81
1482588003.03,l,69,81,66,84
1482588003.47,l,66,84,63,87
1482588003.53,l,63,87,60,90
1482588003.74,l,60,90,57,93
1482588004.22,l,57,93,54,96
1482588004.27,l,54,96,51,99
1482588004.33,l,51,99,48,102
1482588004.37,l,48,102,45,105
1482588004.43,l,45,105,42,108
1482588004.47,l,42,108,39,111
1482588004.53,l,39,111,36,114
1482588005.56,s,36,114,75,75
1482588006.53,l,75,75,72,78
1482588007.02,l,72,78,69,81
1482588007.07,l,69,81,66,84
1482588007.13,l,66,84,63,87
1482588007.17,l,63,87,60,90
1482588007.22,l,60,90,57,93
1482588007.27,l,57,93,54,96
1482588007.33,l,54,96,51,99
1482588007.37,l,51,99,48,102
1482588007.43,l,48,102,45,105
1482588007.47,l,45,105,42,108
1482588007.53,l,42,108,39,111
1482588007.57,l,39,111,36,114
1482588007.64,l,36,114,33,117
1482588007.67,l,33,117,30,120
1482588007.72,l,30,120,27,123
1482588007.77,l,27,123,24,126
1482588007.83,l,24,126,21,129
1482588008.16,s,21,129,75,75
1482588008.70,l,75,75,72,78
1482588009.20,l,72,78,69,81
1482588009.26,l,69,81,66,84
1482588009.29,l,66,84,63,87
1482588009.34,l,63,87,60,90
1482588009.40,l,60,90,57,93
1482588009.45,l,57,93,54,96
1482588009.50,l,54,96,51,99
1482588009.55,l,51,99,48,102
1482588009.60,l,48,102,45,105
1482588009.66,l,45,105,42,108
1482588009.70,l,42,108,39,111
1482588009.75,l,39,111,36,114
1482588009.80,l,36,114,33,117
1482588009.85,l,33,117,30,120
1482588010.36,s,30,120,75,75
1482588010.67,l,75,75,72,78
1482588011.16,l,72,78,69,81
1482588011.21,l,69,81,66,84
1482588011.27,l,66,84,63,87
1482588011.32,l,63,87,60,90
1482588011.37,l,60,90,57,93
1482588011.50,l,57,93,54,96
1482588011.52,l,54,96,51,99
1482588011.56,l,51,99,48,102
1482588011.63,l,48,102,45,105
1482588011.91,l,45,105,42,108
1482588012.40,l,42,108,39,111
1482588012.45,l,39,111,36,114
1482588014.29,s,36,114,75,75
1482588015.03,l,75,75,72,78
1482588015.53,l,72,78,69,81
1482588015.99,h,69,81,0,0
