1482587815,1
1482587816,10
1482587817,7
1482587818,6
1482587819,5
1482587820,2
1482587821,1
1482587823,3
1482587824,6
1482587825,6
1482587826,4
1482587827,4
1482587828,6
1482587829,7
1482587830,7
1482587831,5
1482587832,4
1482587833,7
1482587834,2
1482587835,3
1482587836,3
1482587837,2
1482587838,4
1482587839,3
1482587840,5
1482587841,3
1482587842,4
1482587843,3
1482587844,5
1482587845,4
1482587846,3
1482587847,4
1482587848,5
1482587849,3
1482587850,5
1482587851,4
1482587852,6
1482587853,10
1482587854,6
1482587855,5
1482587856,5
1482587857,6
1482587858,4
1482587859,6
1482587860,7
1482587861,6
1482587862,1
1482587863,2
1482587864,4
1482587865,5
1482587866,3
1482587867,1
1482587868,1
1482587869,2
1482587870,2
1482587871,5
1482587872,2
1482587873,4
1482587874,4
1482587875,4
1482587876,5
1482587877,8
